RA,DEC,J,H,Av,R,Weight
274.6642279,-13.79505546,17.23757859,16.24188,3.1831832,21.975116,1
274.6664484,-13.80833659,15.66063933,14.634092,3.1831832,20.398177,1
274.6763117,-13.77285815,16.05966403,14.943791,3.1831832,20.797202,1
274.677393,-13.75579285,17.35436688,16.361367,3.1831832,22.091904,1
274.6793582,-13.80328725,15.7349393,14.677784,3.1831832,20.472477,1
274.682083,-13.78865336,16.3025915,15.208343,3.1831832,21.040129,1
274.6950858,-13.77592485,16.90503827,15.87799,3.1831832,21.642576,1
274.6973601,-13.80185028,15.29986845,14.327348,3.1831832,20.037406,1
274.7035813,-13.7727231,15.55894323,14.532143,3.1831832,20.296481,1
274.6383292,-13.79691927,16.16572431,15.043617,3.3033033,21.006565,1
274.6388979,-13.78565437,16.2826183,15.153,3.3033033,21.123459,1
274.6467872,-13.82014224,16.16214082,15.024935,3.3033033,21.002982,1
274.6573433,-13.75523537,16.15208023,15.012823,3.3033033,20.992921,1
274.6625663,-13.7860345,15.82070339,14.759806,3.3033033,20.661544,1
274.6795347,-13.83019548,15.82599684,14.770102,3.3033033,20.666838,1
274.6898176,-13.77297911,16.1407726,15.007688,3.3033033,20.981613,1
274.7037863,-13.81853489,15.83288847,14.767936,3.3033033,20.673729,1
274.7246286,-13.74117456,16.27029419,15.152696,3.3033033,21.111135,1
274.6430305,-13.83173855,15.71602707,14.650781,3.4234234,20.660171,1
274.6441032,-13.77373938,16.49214133,15.37118,3.4234234,21.436286,1
274.6602297,-13.75785553,16.32397609,15.173854,3.4234234,21.26812,1
274.6765714,-13.83068304,15.38681413,14.39659,3.4234234,20.330958,1
274.6781804,-13.77736809,15.87445557,14.7848,3.4234234,20.8186,1
274.6966016,-13.84188324,16.83454184,15.793071,3.4234234,21.778686,1
274.6986145,-13.81153976,16.13100119,14.976394,3.4234234,21.075145,1
274.7024886,-13.85142704,15.60647589,14.560254,3.4234234,20.55062,1
274.7173572,-13.83369686,15.287156,14.304289,3.4234234,20.2313,1
274.7197545,-13.78618003,16.96147517,15.900491,3.4234234,21.905619,1
274.6520403,-13.75690669,17.46980574,16.453589,3.5435435,22.517253,1
274.6563635,-13.76753785,16.16912873,15.016608,3.5435435,21.216576,1
274.6577767,-13.82109375,15.66587648,14.61377,3.5435435,20.713324,1
274.6846989,-13.77804721,15.89889062,14.801699,3.5435435,20.946338,1
274.6862016,-13.81651064,15.19522039,14.227217,3.5435435,20.242668,1
274.7099674,-13.78018521,16.41583943,15.259805,3.5435435,21.463287,1
274.7141487,-13.84681321,15.94503082,14.855719,3.5435435,20.992478,1
274.7244834,-13.82571085,16.59893607,15.486614,3.5435435,21.646384,1
274.7449276,-13.79033482,15.09116819,14.136218,3.5435435,20.138616,1
274.6248101,-13.76334941,16.3266729,15.174092,3.6636637,21.477424,1
274.6357935,-13.77732325,16.89962419,15.818661,3.6636637,22.050375,1
274.6511589,-13.78633359,16.17516836,15.007026,3.6636637,21.325919,1
274.6519337,-13.78567784,16.49609725,15.34038,3.6636637,21.646848,1
274.6575411,-13.76454987,16.57266329,15.426893,3.6636637,21.723414,1
274.6585126,-13.78098743,16.62826737,15.489299,3.6636637,21.779018,1
274.6611209,-13.80176801,14.63141773,13.744938,3.6636637,19.782169,1
274.6820076,-13.78586307,15.14918217,14.183472,3.6636637,20.299933,1
274.7091366,-13.76206646,16.33762317,15.176169,3.6636637,21.488374,1
274.7126846,-13.85099328,15.75862946,14.676716,3.6636637,20.90938,1
274.7143915,-13.83456926,16.75253942,15.63442,3.6636637,21.90329,1
274.7158841,-13.77997077,15.94370785,14.830718,3.6636637,21.094459,1
274.7211787,-13.77251845,15.5407062,14.507236,3.6636637,20.691457,1
274.6442137,-13.77734505,17.07409791,15.978572,3.7837838,22.328152,1
